factor,horizon_seconds,quantile,count,mean_future_mid_return,median_future_mid_return,positive_return_share,zero_return_share
microprice_minus_mid,60,1,65066,0.0051591614668183095,0.0,0.33399932376356317,0.37784710908923247
microprice_minus_mid,60,2,64946,0.001068333692606165,0.0,0.18569272934437842,0.5843008037446494
microprice_minus_mid,60,3,64943,0.002511664074650077,0.0,0.23064841476371586,0.5866529110142741
microprice_minus_mid,60,4,64949,0.004422031132119046,0.0,0.24893377881106715,0.6212258849250951
microprice_minus_mid,60,5,64956,0.008062927212266766,0.0,0.33059301681138004,0.539395898762239
microprice_minus_mid,300,1,65104,0.013234824281150163,0.0,0.44312177439174244,0.15952936839518309
microprice_minus_mid,300,2,64885,0.005539739539184713,0.0,0.2769515296293442,0.3483547815365647
microprice_minus_mid,300,3,64940,0.01218711117955035,0.0,0.34206960271019404,0.3781644595010779
microprice_minus_mid,300,4,65012,0.013126761213314464,0.0,0.34981234233679936,0.43470436227158066
microprice_minus_mid,300,5,64856,0.025997633218206483,0.0,0.4799555939311706,0.37461453065252254
microprice_minus_mid,900,1,65142,0.029330616192318318,0.0,0.49987719136655306,0.09800128949065119
microprice_minus_mid,900,2,65204,0.01999496196552359,0.0,0.37954726703883196,0.17417643089381019
microprice_minus_mid,900,3,64839,0.025092459785005936,0.0,0.426733910146671,0.28987183639476244
microprice_minus_mid,900,4,65085,0.03030802028117078,0.0,0.4660213566874088,0.29194130752093417
microprice_minus_mid,900,5,65018,0.06998508105447723,0.0050000000000000044,0.5992340582607893,0.23344304654095788
ofi_30s,60,1,71726,0.004912423667847083,0.0,0.28253353037949974,0.4872012938125645
ofi_30s,60,2,119118,-9.103577964707278e-05,0.0,0.12759616514716499,0.7526654242012123
ofi_30s,60,3,4083,-0.00011192750428605978,0.0,0.23365172667156503,0.618417830026941
ofi_30s,60,4,64984,0.0018190631540071398,0.0,0.26580389018835404,0.5347162378431614
ofi_30s,60,5,64949,0.014162950930730266,0.0004999999999999449,0.503810682227594,0.21775546967620749
ofi_30s,300,1,70386,0.013629912198448555,0.0,0.37265933566334214,0.29306964453158296
ofi_30s,300,2,118942,0.0006551218240823254,0.0,0.25647794723478673,0.5090800558255284
ofi_30s,300,3,5570,-0.004773877917414717,0.0,0.36624775583482944,0.3199281867145422
ofi_30s,300,4,64945,0.0025012626068211564,0.0,0.3702825467703441,0.3243513742397413
ofi_30s,300,5,64954,0.0520196754626351,0.009999999999999953,0.6170366721064138,0.0935739138467223
ofi_30s,900,1,71194,0.0619940865803298,0.0,0.48329915442312554,0.18324577913869147
ofi_30s,900,2,118484,0.006331736774585597,0.0,0.3641926336045373,0.327132777421424
ofi_30s,900,3,5499,0.00488879796326605,0.0004999999999999449,0.5022731405710129,0.2127659574468085
ofi_30s,900,4,65277,0.01898831135009268,0.0,0.46108123841475557,0.19912067037394487
ofi_30s,900,5,64834,0.07610303235956443,0.015499999999999958,0.6763889317333498,0.07312521208008144
trade_pressure_30s,60,1,283537,0.0017369055890412899,0.0,0.22602693828318704,0.5857612939404734
trade_pressure_30s,60,2,41323,0.02145657382087457,0.0039999999999998925,0.5402802313481596,0.24035041018319095
trade_pressure_30s,300,1,282212,0.007831426374498603,0.0,0.3405843833713662,0.3752250081499015
trade_pressure_30s,300,2,42585,0.054993401432429256,0.010000000000000009,0.6290008218856404,0.09888458377362921
trade_pressure_30s,900,1,282987,0.024437341644669187,0.0,0.4506249403682855,0.24060469208832916
trade_pressure_30s,900,2,42301,0.10517042150303776,0.018000000000000016,0.632396397248292,0.062102550767121345
