event_slug,event_title,event_start,event_end,market_index,market_label,condition_id,asset_id,token_side,probe_rows,trade_rows,median_spread,median_depth_imbalance_1,source_time_inversion_count,source_delay_over_threshold_count
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,10,28°C or higher,0xbb205043a60774a3a047d9b19a1ff1b89f476d221df716552ffbce4dc9d47524,74894507304943217982308150117351772383465743335849048351488006458495739714670,YES,2996,165,0.003,0.32806770098730614,33044,81943
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,0,23°C or below,0x209ea702bffd8aa70d4fca6c1287885fdb91716c30e0e8bd81567963400b0e50,12036673829484768976214971983373134806036380987353183612468179472146562556837,YES,2431,6,0.002,0.1791044776119403,19519,48035
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,1,24°C,0xb3b7b4ad958cbe3e28c7d6ba4ebe7a7a879dac0223b694775f12050c38a6f384,68012748651234380826998744095104282306642841521116724279855731758194825122632,YES,1871,1,0.003,0.6573812006554447,16145,35069
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,2,25°C,0x1637fef417faa8e8123e6932708157b1347d8325263f33ca81ba04629ba4ecb3,56788830322716258264964226087573396454736855011978630420131480404812475321234,YES,2696,10,0.003,0.5785319652722968,25323,56270
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,3,26°C,0x23b087336e0307221d1d284112a21c185292a3ec68d31fa5676401b39c5e4e92,104200728392517260769227840787358244233838628411342747825408718627319711152999,YES,2792,143,0.01999999999999999,0.1111111111111111,50226,100074
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,4,27°C,0xdf893641b3da75d542e9816e3e50650ff9a57395826fd717e855bd5eec447ed5,70515615079914594072283762648675090779952114797105930464607795042963547323371,YES,2920,440,0.01999999999999999,0.28947615912724545,91899,136266
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,5,28°C,0x9fe8b4b759767560042e24c382fb7fc9be3da3235298edd0065ece2888659184,79468022192238370215968228824413698994937653291968216025900787429247470618594,YES,3107,430,0.020000000000000018,-0.07369027058146227,95496,117045
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,6,29°C,0xfd87fa8472dfb154071783a0aebe68d0b8277ce700a4265c707ec9639114d952,27278603221623619784217526778931912161201014588668933433614811866718916250456,YES,3083,255,0.01999999999999999,-0.06254882558200096,102357,127024
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,7,30°C,0x159328aa49ce5325050c0737bf19698a5a9b5c417d8a7d404e6da19d8ae9d5c2,42762311995392589756762413746744603645968981252144913788678454874717778235915,YES,2957,180,0.020000000000000004,0.16538667619217723,93295,151495
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,8,31°C,0xdb6d5221bcee90c9b194e42681793e2caff0509197eb53c0031fc9802f50474f,83824793511464858660778918412947343764676476743062614862944889637630496459149,YES,3019,119,0.0040000000000000036,0.6050354051927617,67430,115444
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,9,32°C,0x172043a1fcf0edff9fc73bd6ed63a50b2874be1f4323f7070b7c235d7fd2b636,107394249729422528580295423197418949033681781170606210461168594071997949686079,YES,3000,29,0.003000000000000001,0.64385020410578,33961,64649
highest-temperature-in-shanghai-on-june-10-2026,Highest temperature in Shanghai on June 10?,2026-06-08T04:26:36Z,2026-06-10T12:00:00Z,10,33°C or higher,0xf7c320623ae04b343a84ef1d29e41f1a0a9273cb5ede41198542839b04663b42,77126216875827511182932083508968979397438543022663466379727138106562657476235,YES,2836,16,0.002,0.352207311989287,26451,58680
